#################### HIPFILE BACKEND: FASTPATH ####################
RUN_DIRECTORY	/mnt/ais/xfs/johtyler/hipfile-io-stat-effects.rkjq8a/fastpath
GPU_ID	0
DIO_MEMORY_ALIGNMENT	4
DIO_OFFSET_ALIGNMENT	512
NORMAL_IO_SIZE	4096
INITIAL_FILE_SIZE	1048576
NOTE	Exact transitions are compared for structural fields; timestamps and inode values are compared by changed/unchanged state.

=== read-zero-in-range (size=0, offset=0) ===
RETURN	POSIX=0 errno=0	HIPFILE=0 errno=0
statx.stx_blksize	4096 -> 4096 (unchanged)	4096 -> 4096 (unchanged)	MATCH
statx.stx_attributes	0x0 -> 0x0 (unchanged)	0x0 -> 0x0 (unchanged)	MATCH
statx.stx_nlink	1 -> 1 (unchanged)	1 -> 1 (unchanged)	MATCH
statx.stx_uid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
statx.stx_gid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
statx.stx_mode	0100640 -> 0100640 (unchanged)	0100640 -> 0100640 (unchanged)	MATCH
statx.stx_ino	67174545 -> 67174545 (unchanged)	67174546 -> 67174546 (unchanged)	MATCH
statx.stx_size	1048576 -> 1048576 (unchanged)	1048576 -> 1048576 (unchanged)	MATCH
statx.stx_blocks	2048 -> 2048 (unchanged)	2048 -> 2048 (unchanged)	MATCH
statx.stx_attributes_mask	0x203070 -> 0x203070 (unchanged)	0x203070 -> 0x203070 (unchanged)	MATCH
statx.stx_atime	946684800.000000000 -> 946684800.000000000 (unchanged)	946684800.000000000 -> 946684800.000000000 (unchanged)	MATCH
statx.stx_btime	1787157835.270107549 -> 1787157835.270107549 (unchanged)	1787157835.276107858 -> 1787157835.276107858 (unchanged)	MATCH
statx.stx_ctime	1787157835.271107600 -> 1787157835.271107600 (unchanged)	1787157835.277107909 -> 1787157835.277107909 (unchanged)	MATCH
statx.stx_mtime	946684801.000000000 -> 946684801.000000000 (unchanged)	946684801.000000000 -> 946684801.000000000 (unchanged)	MATCH
statx.stx_rdev	0:0 -> 0:0 (unchanged)	0:0 -> 0:0 (unchanged)	MATCH
statx.stx_dev	259:5 -> 259:5 (unchanged)	259:5 -> 259:5 (unchanged)	MATCH
statx.stx_dio_mem_align	4 -> 4 (unchanged)	4 -> 4 (unchanged)	MATCH
statx.stx_dio_offset_align	512 -> 512 (unchanged)	512 -> 512 (unchanged)	MATCH
POST_CLOSE_FIELD	POSIX before -> post-close	HIPFILE before -> post-close	COMPARISON
POST_CLOSE_RESULT	MATCH
CASE_RESULT	PASS

=== read-zero-beyond-eof (size=0, offset=2097152) ===
RETURN	POSIX=0 errno=0	HIPFILE=0 errno=0
CONTENT	POSIX=0x1f5e0df9bc822325	HIPFILE=0x1f5e0df9bc822325	MATCH
FIELD	POSIX before -> after	HIPFILE before -> after	COMPARISON
fstat.st_dev	259:5 -> 259:5 (unchanged)	259:5 -> 259:5 (unchanged)	MATCH
fstat.st_ino	67174547 -> 67174547 (unchanged)	67174548 -> 67174548 (unchanged)	MATCH
fstat.st_mode	0100640 -> 0100640 (unchanged)	0100640 -> 0100640 (unchanged)	MATCH
fstat.st_nlink	1 -> 1 (unchanged)	1 -> 1 (unchanged)	MATCH
fstat.st_uid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
fstat.st_gid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
fstat.st_rdev	0:0 -> 0:0 (unchanged)	0:0 -> 0:0 (unchanged)	MATCH
fstat.st_size	1048576 -> 1048576 (unchanged)	1048576 -> 1048576 (unchanged)	MATCH
fstat.st_blksize	4096 -> 4096 (unchanged)	4096 -> 4096 (unchanged)	MATCH
fstat.st_blocks	2048 -> 2048 (unchanged)	2048 -> 2048 (unchanged)	MATCH
fstat.st_atim	946684800.000000000 -> 946684800.000000000 (unchanged)	946684800.000000000 -> 946684800.000000000 (unchanged)	MATCH
fstat.st_mtim	946684801.000000000 -> 946684801.000000000 (unchanged)	946684801.000000000 -> 946684801.000000000 (unchanged)	MATCH
fstat.st_ctim	1787157835.283108218 -> 1787157835.283108218 (unchanged)	1787157835.289108526 -> 1787157835.289108526 (unchanged)	MATCH
statx.stx_mask	0x3fff -> 0x3fff (unchanged)	0x3fff -> 0x3fff (unchanged)	MATCH
statx.stx_blksize	4096 -> 4096 (unchanged)	4096 -> 4096 (unchanged)	MATCH
statx.stx_attributes	0x0 -> 0x0 (unchanged)	0x0 -> 0x0 (unchanged)	MATCH
statx.stx_nlink	1 -> 1 (unchanged)	1 -> 1 (unchanged)	MATCH
statx.stx_uid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
statx.stx_gid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
statx.stx_mode	0100640 -> 0100640 (unchanged)	0100640 -> 0100640 (unchanged)	MATCH
statx.stx_ino	67174547 -> 67174547 (unchanged)	67174548 -> 67174548 (unchanged)	MATCH
statx.stx_size	1048576 -> 1048576 (unchanged)	1048576 -> 1048576 (unchanged)	MATCH
statx.stx_blocks	2048 -> 2048 (unchanged)	2048 -> 2048 (unchanged)	MATCH
statx.stx_attributes_mask	0x203070 -> 0x203070 (unchanged)	0x203070 -> 0x203070 (unchanged)	MATCH
statx.stx_atime	946684800.000000000 -> 946684800.000000000 (unchanged)	946684800.000000000 -> 946684800.000000000 (unchanged)	MATCH
statx.stx_btime	1787157835.283108218 -> 1787157835.283108218 (unchanged)	1787157835.289108526 -> 1787157835.289108526 (unchanged)	MATCH
statx.stx_ctime	1787157835.283108218 -> 1787157835.283108218 (unchanged)	1787157835.289108526 -> 1787157835.289108526 (unchanged)	MATCH
statx.stx_mtime	946684801.000000000 -> 946684801.000000000 (unchanged)	946684801.000000000 -> 946684801.000000000 (unchanged)	MATCH
statx.stx_rdev	0:0 -> 0:0 (unchanged)	0:0 -> 0:0 (unchanged)	MATCH
statx.stx_dev	259:5 -> 259:5 (unchanged)	259:5 -> 259:5 (unchanged)	MATCH
statx.stx_dio_mem_align	4 -> 4 (unchanged)	4 -> 4 (unchanged)	MATCH
statx.stx_dio_offset_align	512 -> 512 (unchanged)	512 -> 512 (unchanged)	MATCH
POST_CLOSE_FIELD	POSIX before -> post-close	HIPFILE before -> post-close	COMPARISON
POST_CLOSE_RESULT	MATCH
CASE_RESULT	PASS

=== read-normal-in-range (size=4096, offset=0) ===
RETURN	POSIX=4096 errno=0	HIPFILE=4096 errno=0
CONTENT	POSIX=0x1f5e0df9bc822325	HIPFILE=0x1f5e0df9bc822325	MATCH
READ_BUFFER	POSIX=0x90322cc3a55a8325	HIPFILE=0x90322cc3a55a8325	MATCH
FIELD	POSIX before -> after	HIPFILE before -> after	COMPARISON
fstat.st_dev	259:5 -> 259:5 (unchanged)	259:5 -> 259:5 (unchanged)	MATCH
fstat.st_ino	67174549 -> 67174549 (unchanged)	67174550 -> 67174550 (unchanged)	MATCH
fstat.st_mode	0100640 -> 0100640 (unchanged)	0100640 -> 0100640 (unchanged)	MATCH
fstat.st_nlink	1 -> 1 (unchanged)	1 -> 1 (unchanged)	MATCH
fstat.st_uid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
fstat.st_gid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
fstat.st_rdev	0:0 -> 0:0 (unchanged)	0:0 -> 0:0 (unchanged)	MATCH
fstat.st_size	1048576 -> 1048576 (unchanged)	1048576 -> 1048576 (unchanged)	MATCH
fstat.st_blksize	4096 -> 4096 (unchanged)	4096 -> 4096 (unchanged)	MATCH
fstat.st_blocks	2048 -> 2048 (unchanged)	2048 -> 2048 (unchanged)	MATCH
fstat.st_atim	946684800.000000000 -> 1787157835.324110326 (changed)	946684800.000000000 -> 1787157835.331110687 (changed)	MATCH
fstat.st_mtim	946684801.000000000 -> 946684801.000000000 (unchanged)	946684801.000000000 -> 946684801.000000000 (unchanged)	MATCH
fstat.st_ctim	1787157835.296108886 -> 1787157835.296108886 (unchanged)	1787157835.328110532 -> 1787157835.328110532 (unchanged)	MATCH
statx.stx_mask	0x3fff -> 0x3fff (unchanged)	0x3fff -> 0x3fff (unchanged)	MATCH
statx.stx_blksize	4096 -> 4096 (unchanged)	4096 -> 4096 (unchanged)	MATCH
statx.stx_attributes	0x0 -> 0x0 (unchanged)	0x0 -> 0x0 (unchanged)	MATCH
statx.stx_nlink	1 -> 1 (unchanged)	1 -> 1 (unchanged)	MATCH
statx.stx_uid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
statx.stx_gid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
statx.stx_mode	0100640 -> 0100640 (unchanged)	0100640 -> 0100640 (unchanged)	MATCH
statx.stx_ino	67174549 -> 67174549 (unchanged)	67174550 -> 67174550 (unchanged)	MATCH
statx.stx_size	1048576 -> 1048576 (unchanged)	1048576 -> 1048576 (unchanged)	MATCH
statx.stx_blocks	2048 -> 2048 (unchanged)	2048 -> 2048 (unchanged)	MATCH
statx.stx_attributes_mask	0x203070 -> 0x203070 (unchanged)	0x203070 -> 0x203070 (unchanged)	MATCH
statx.stx_atime	946684800.000000000 -> 1787157835.324110326 (changed)	946684800.000000000 -> 1787157835.331110687 (changed)	MATCH
statx.stx_btime	1787157835.295108835 -> 1787157835.295108835 (unchanged)	1787157835.327110480 -> 1787157835.327110480 (unchanged)	MATCH
statx.stx_ctime	1787157835.296108886 -> 1787157835.296108886 (unchanged)	1787157835.328110532 -> 1787157835.328110532 (unchanged)	MATCH
statx.stx_mtime	946684801.000000000 -> 946684801.000000000 (unchanged)	946684801.000000000 -> 946684801.000000000 (unchanged)	MATCH
statx.stx_rdev	0:0 -> 0:0 (unchanged)	0:0 -> 0:0 (unchanged)	MATCH
statx.stx_dev	259:5 -> 259:5 (unchanged)	259:5 -> 259:5 (unchanged)	MATCH
statx.stx_dio_mem_align	4 -> 4 (unchanged)	4 -> 4 (unchanged)	MATCH
statx.stx_dio_offset_align	512 -> 512 (unchanged)	512 -> 512 (unchanged)	MATCH
POST_CLOSE_FIELD	POSIX before -> post-close	HIPFILE before -> post-close	COMPARISON
post-close.fstat.st_atim	946684800.000000000 -> 1787157835.324110326 (changed)	946684800.000000000 -> 1787157835.331110687 (changed)	MATCH
post-close.statx.stx_atime	946684800.000000000 -> 1787157835.324110326 (changed)	946684800.000000000 -> 1787157835.331110687 (changed)	MATCH
POST_CLOSE_RESULT	MATCH
CASE_RESULT	PASS

=== write-zero-in-range (size=0, offset=0) ===
RETURN	POSIX=0 errno=0	HIPFILE=0 errno=0
CONTENT	POSIX=0x1f5e0df9bc822325	HIPFILE=0x1f5e0df9bc822325	MATCH
FIELD	POSIX before -> after	HIPFILE before -> after	COMPARISON
fstat.st_dev	259:5 -> 259:5 (unchanged)	259:5 -> 259:5 (unchanged)	MATCH
fstat.st_ino	67174551 -> 67174551 (unchanged)	67174552 -> 67174552 (unchanged)	MATCH
fstat.st_mode	0100640 -> 0100640 (unchanged)	0100640 -> 0100640 (unchanged)	MATCH
fstat.st_nlink	1 -> 1 (unchanged)	1 -> 1 (unchanged)	MATCH
fstat.st_uid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
fstat.st_gid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
fstat.st_rdev	0:0 -> 0:0 (unchanged)	0:0 -> 0:0 (unchanged)	MATCH
fstat.st_size	1048576 -> 1048576 (unchanged)	1048576 -> 1048576 (unchanged)	MATCH
fstat.st_blksize	4096 -> 4096 (unchanged)	4096 -> 4096 (unchanged)	MATCH
fstat.st_blocks	2048 -> 2048 (unchanged)	2048 -> 2048 (unchanged)	MATCH
fstat.st_atim	946684800.000000000 -> 946684800.000000000 (unchanged)	946684800.000000000 -> 946684800.000000000 (unchanged)	MATCH
fstat.st_mtim	946684801.000000000 -> 946684801.000000000 (unchanged)	946684801.000000000 -> 946684801.000000000 (unchanged)	MATCH
fstat.st_ctim	1787157835.335110892 -> 1787157835.335110892 (unchanged)	1787157835.341111201 -> 1787157835.341111201 (unchanged)	MATCH
statx.stx_mask	0x3fff -> 0x3fff (unchanged)	0x3fff -> 0x3fff (unchanged)	MATCH
statx.stx_blksize	4096 -> 4096 (unchanged)	4096 -> 4096 (unchanged)	MATCH
statx.stx_attributes	0x0 -> 0x0 (unchanged)	0x0 -> 0x0 (unchanged)	MATCH
statx.stx_nlink	1 -> 1 (unchanged)	1 -> 1 (unchanged)	MATCH
statx.stx_uid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
statx.stx_gid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
statx.stx_mode	0100640 -> 0100640 (unchanged)	0100640 -> 0100640 (unchanged)	MATCH
statx.stx_ino	67174551 -> 67174551 (unchanged)	67174552 -> 67174552 (unchanged)	MATCH
statx.stx_size	1048576 -> 1048576 (unchanged)	1048576 -> 1048576 (unchanged)	MATCH
statx.stx_blocks	2048 -> 2048 (unchanged)	2048 -> 2048 (unchanged)	MATCH
statx.stx_attributes_mask	0x203070 -> 0x203070 (unchanged)	0x203070 -> 0x203070 (unchanged)	MATCH
statx.stx_atime	946684800.000000000 -> 946684800.000000000 (unchanged)	946684800.000000000 -> 946684800.000000000 (unchanged)	MATCH
statx.stx_btime	1787157835.334110840 -> 1787157835.334110840 (unchanged)	1787157835.340111149 -> 1787157835.340111149 (unchanged)	MATCH
statx.stx_ctime	1787157835.335110892 -> 1787157835.335110892 (unchanged)	1787157835.341111201 -> 1787157835.341111201 (unchanged)	MATCH
statx.stx_mtime	946684801.000000000 -> 946684801.000000000 (unchanged)	946684801.000000000 -> 946684801.000000000 (unchanged)	MATCH
statx.stx_rdev	0:0 -> 0:0 (unchanged)	0:0 -> 0:0 (unchanged)	MATCH
statx.stx_dev	259:5 -> 259:5 (unchanged)	259:5 -> 259:5 (unchanged)	MATCH
statx.stx_dio_mem_align	4 -> 4 (unchanged)	4 -> 4 (unchanged)	MATCH
statx.stx_dio_offset_align	512 -> 512 (unchanged)	512 -> 512 (unchanged)	MATCH
POST_CLOSE_FIELD	POSIX before -> post-close	HIPFILE before -> post-close	COMPARISON
POST_CLOSE_RESULT	MATCH
CASE_RESULT	PASS

=== write-zero-beyond-eof (size=0, offset=2097152) ===
RETURN	POSIX=0 errno=0	HIPFILE=0 errno=0
CONTENT	POSIX=0x1f5e0df9bc822325	HIPFILE=0x1f5e0df9bc822325	MATCH
FIELD	POSIX before -> after	HIPFILE before -> after	COMPARISON
fstat.st_dev	259:5 -> 259:5 (unchanged)	259:5 -> 259:5 (unchanged)	MATCH
fstat.st_ino	67174553 -> 67174553 (unchanged)	67174554 -> 67174554 (unchanged)	MATCH
fstat.st_mode	0100640 -> 0100640 (unchanged)	0100640 -> 0100640 (unchanged)	MATCH
fstat.st_nlink	1 -> 1 (unchanged)	1 -> 1 (unchanged)	MATCH
fstat.st_uid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
fstat.st_gid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
fstat.st_rdev	0:0 -> 0:0 (unchanged)	0:0 -> 0:0 (unchanged)	MATCH
fstat.st_size	1048576 -> 1048576 (unchanged)	1048576 -> 1048576 (unchanged)	MATCH
fstat.st_blksize	4096 -> 4096 (unchanged)	4096 -> 4096 (unchanged)	MATCH
fstat.st_blocks	2048 -> 2048 (unchanged)	2048 -> 2048 (unchanged)	MATCH
fstat.st_atim	946684800.000000000 -> 946684800.000000000 (unchanged)	946684800.000000000 -> 946684800.000000000 (unchanged)	MATCH
fstat.st_mtim	946684801.000000000 -> 946684801.000000000 (unchanged)	946684801.000000000 -> 946684801.000000000 (unchanged)	MATCH
fstat.st_ctim	1787157835.348111561 -> 1787157835.348111561 (unchanged)	1787157835.354111869 -> 1787157835.354111869 (unchanged)	MATCH
statx.stx_mask	0x3fff -> 0x3fff (unchanged)	0x3fff -> 0x3fff (unchanged)	MATCH
statx.stx_blksize	4096 -> 4096 (unchanged)	4096 -> 4096 (unchanged)	MATCH
statx.stx_attributes	0x0 -> 0x0 (unchanged)	0x0 -> 0x0 (unchanged)	MATCH
statx.stx_nlink	1 -> 1 (unchanged)	1 -> 1 (unchanged)	MATCH
statx.stx_uid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
statx.stx_gid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
statx.stx_mode	0100640 -> 0100640 (unchanged)	0100640 -> 0100640 (unchanged)	MATCH
statx.stx_ino	67174553 -> 67174553 (unchanged)	67174554 -> 67174554 (unchanged)	MATCH
statx.stx_size	1048576 -> 1048576 (unchanged)	1048576 -> 1048576 (unchanged)	MATCH
statx.stx_blocks	2048 -> 2048 (unchanged)	2048 -> 2048 (unchanged)	MATCH
statx.stx_attributes_mask	0x203070 -> 0x203070 (unchanged)	0x203070 -> 0x203070 (unchanged)	MATCH
statx.stx_atime	946684800.000000000 -> 946684800.000000000 (unchanged)	946684800.000000000 -> 946684800.000000000 (unchanged)	MATCH
statx.stx_btime	1787157835.347111509 -> 1787157835.347111509 (unchanged)	1787157835.353111817 -> 1787157835.353111817 (unchanged)	MATCH
statx.stx_ctime	1787157835.348111561 -> 1787157835.348111561 (unchanged)	1787157835.354111869 -> 1787157835.354111869 (unchanged)	MATCH
statx.stx_mtime	946684801.000000000 -> 946684801.000000000 (unchanged)	946684801.000000000 -> 946684801.000000000 (unchanged)	MATCH
statx.stx_rdev	0:0 -> 0:0 (unchanged)	0:0 -> 0:0 (unchanged)	MATCH
statx.stx_dev	259:5 -> 259:5 (unchanged)	259:5 -> 259:5 (unchanged)	MATCH
statx.stx_dio_mem_align	4 -> 4 (unchanged)	4 -> 4 (unchanged)	MATCH
statx.stx_dio_offset_align	512 -> 512 (unchanged)	512 -> 512 (unchanged)	MATCH
POST_CLOSE_FIELD	POSIX before -> post-close	HIPFILE before -> post-close	COMPARISON
POST_CLOSE_RESULT	MATCH
CASE_RESULT	PASS

=== write-normal-overwrite (size=4096, offset=0) ===
RETURN	POSIX=4096 errno=0	HIPFILE=4096 errno=0
CONTENT	POSIX=0x98a2ac64be1c8325	HIPFILE=0x98a2ac64be1c8325	MATCH
FIELD	POSIX before -> after	HIPFILE before -> after	COMPARISON
fstat.st_dev	259:5 -> 259:5 (unchanged)	259:5 -> 259:5 (unchanged)	MATCH
fstat.st_ino	67174555 -> 67174555 (unchanged)	67174556 -> 67174556 (unchanged)	MATCH
fstat.st_mode	0100640 -> 0100640 (unchanged)	0100640 -> 0100640 (unchanged)	MATCH
fstat.st_nlink	1 -> 1 (unchanged)	1 -> 1 (unchanged)	MATCH
fstat.st_uid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
fstat.st_gid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
fstat.st_rdev	0:0 -> 0:0 (unchanged)	0:0 -> 0:0 (unchanged)	MATCH
fstat.st_size	1048576 -> 1048576 (unchanged)	1048576 -> 1048576 (unchanged)	MATCH
fstat.st_blksize	4096 -> 4096 (unchanged)	4096 -> 4096 (unchanged)	MATCH
fstat.st_blocks	2048 -> 2048 (unchanged)	2048 -> 2048 (unchanged)	MATCH
fstat.st_atim	946684800.000000000 -> 946684800.000000000 (unchanged)	946684800.000000000 -> 946684800.000000000 (unchanged)	MATCH
fstat.st_mtim	946684801.000000000 -> 1787157835.363112332 (changed)	946684801.000000000 -> 1787157835.369112641 (changed)	MATCH
fstat.st_ctim	1787157835.361112229 -> 1787157835.363112332 (changed)	1787157835.367112537 -> 1787157835.369112641 (changed)	MATCH
statx.stx_mask	0x3fff -> 0x3fff (unchanged)	0x3fff -> 0x3fff (unchanged)	MATCH
statx.stx_blksize	4096 -> 4096 (unchanged)	4096 -> 4096 (unchanged)	MATCH
statx.stx_attributes	0x0 -> 0x0 (unchanged)	0x0 -> 0x0 (unchanged)	MATCH
statx.stx_nlink	1 -> 1 (unchanged)	1 -> 1 (unchanged)	MATCH
statx.stx_uid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
statx.stx_gid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
statx.stx_mode	0100640 -> 0100640 (unchanged)	0100640 -> 0100640 (unchanged)	MATCH
statx.stx_ino	67174555 -> 67174555 (unchanged)	67174556 -> 67174556 (unchanged)	MATCH
statx.stx_size	1048576 -> 1048576 (unchanged)	1048576 -> 1048576 (unchanged)	MATCH
statx.stx_blocks	2048 -> 2048 (unchanged)	2048 -> 2048 (unchanged)	MATCH
statx.stx_attributes_mask	0x203070 -> 0x203070 (unchanged)	0x203070 -> 0x203070 (unchanged)	MATCH
statx.stx_atime	946684800.000000000 -> 946684800.000000000 (unchanged)	946684800.000000000 -> 946684800.000000000 (unchanged)	MATCH
statx.stx_btime	1787157835.360112177 -> 1787157835.360112177 (unchanged)	1787157835.366112487 -> 1787157835.366112487 (unchanged)	MATCH
statx.stx_ctime	1787157835.361112229 -> 1787157835.363112332 (changed)	1787157835.367112537 -> 1787157835.369112641 (changed)	MATCH
statx.stx_mtime	946684801.000000000 -> 1787157835.363112332 (changed)	946684801.000000000 -> 1787157835.369112641 (changed)	MATCH
statx.stx_rdev	0:0 -> 0:0 (unchanged)	0:0 -> 0:0 (unchanged)	MATCH
statx.stx_dev	259:5 -> 259:5 (unchanged)	259:5 -> 259:5 (unchanged)	MATCH
statx.stx_dio_mem_align	4 -> 4 (unchanged)	4 -> 4 (unchanged)	MATCH
statx.stx_dio_offset_align	512 -> 512 (unchanged)	512 -> 512 (unchanged)	MATCH
POST_CLOSE_FIELD	POSIX before -> post-close	HIPFILE before -> post-close	COMPARISON
post-close.fstat.st_mtim	946684801.000000000 -> 1787157835.363112332 (changed)	946684801.000000000 -> 1787157835.369112641 (changed)	MATCH
post-close.fstat.st_ctim	1787157835.361112229 -> 1787157835.363112332 (changed)	1787157835.367112537 -> 1787157835.369112641 (changed)	MATCH
post-close.statx.stx_ctime	1787157835.361112229 -> 1787157835.363112332 (changed)	1787157835.367112537 -> 1787157835.369112641 (changed)	MATCH
post-close.statx.stx_mtime	946684801.000000000 -> 1787157835.363112332 (changed)	946684801.000000000 -> 1787157835.369112641 (changed)	MATCH
POST_CLOSE_RESULT	MATCH
CASE_RESULT	PASS

=== write-normal-extend (size=4096, offset=1048576) ===
RETURN	POSIX=4096 errno=0	HIPFILE=4096 errno=0
CONTENT	POSIX=0xbab1a8f07754e325	HIPFILE=0xbab1a8f07754e325	MATCH
FIELD	POSIX before -> after	HIPFILE before -> after	COMPARISON
fstat.st_dev	259:5 -> 259:5 (unchanged)	259:5 -> 259:5 (unchanged)	MATCH
fstat.st_ino	67174557 -> 67174557 (unchanged)	67174558 -> 67174558 (unchanged)	MATCH
fstat.st_mode	0100640 -> 0100640 (unchanged)	0100640 -> 0100640 (unchanged)	MATCH
fstat.st_nlink	1 -> 1 (unchanged)	1 -> 1 (unchanged)	MATCH
fstat.st_uid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
fstat.st_gid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
fstat.st_rdev	0:0 -> 0:0 (unchanged)	0:0 -> 0:0 (unchanged)	MATCH
fstat.st_size	1048576 -> 1052672 (changed)	1048576 -> 1052672 (changed)	MATCH
fstat.st_blksize	4096 -> 4096 (unchanged)	4096 -> 4096 (unchanged)	MATCH
fstat.st_blocks	2048 -> 6144 (changed)	2048 -> 2056 (changed)	MISMATCH
fstat.st_atim	946684800.000000000 -> 946684800.000000000 (unchanged)	946684800.000000000 -> 946684800.000000000 (unchanged)	MATCH
fstat.st_mtim	946684801.000000000 -> 1787157835.376113001 (changed)	946684801.000000000 -> 1787157835.383113361 (changed)	MATCH
fstat.st_ctim	1787157835.374112898 -> 1787157835.376113001 (changed)	1787157835.381113258 -> 1787157835.383113361 (changed)	MATCH
statx.stx_mask	0x3fff -> 0x3fff (unchanged)	0x3fff -> 0x3fff (unchanged)	MATCH
statx.stx_blksize	4096 -> 4096 (unchanged)	4096 -> 4096 (unchanged)	MATCH
statx.stx_attributes	0x0 -> 0x0 (unchanged)	0x0 -> 0x0 (unchanged)	MATCH
statx.stx_nlink	1 -> 1 (unchanged)	1 -> 1 (unchanged)	MATCH
statx.stx_uid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
statx.stx_gid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
statx.stx_mode	0100640 -> 0100640 (unchanged)	0100640 -> 0100640 (unchanged)	MATCH
statx.stx_ino	67174557 -> 67174557 (unchanged)	67174558 -> 67174558 (unchanged)	MATCH
statx.stx_size	1048576 -> 1052672 (changed)	1048576 -> 1052672 (changed)	MATCH
statx.stx_blocks	2048 -> 6144 (changed)	2048 -> 2056 (changed)	MISMATCH
statx.stx_attributes_mask	0x203070 -> 0x203070 (unchanged)	0x203070 -> 0x203070 (unchanged)	MATCH
statx.stx_atime	946684800.000000000 -> 946684800.000000000 (unchanged)	946684800.000000000 -> 946684800.000000000 (unchanged)	MATCH
statx.stx_btime	1787157835.373112847 -> 1787157835.373112847 (unchanged)	1787157835.380113207 -> 1787157835.380113207 (unchanged)	MATCH
statx.stx_ctime	1787157835.374112898 -> 1787157835.376113001 (changed)	1787157835.381113258 -> 1787157835.383113361 (changed)	MATCH
statx.stx_mtime	946684801.000000000 -> 1787157835.376113001 (changed)	946684801.000000000 -> 1787157835.383113361 (changed)	MATCH
