counter_name,start_packet,stop_packet,read_packet,output_buffer
CPC_CPC_STAT_BUSY,256,256,1024,72
CPC_CPC_STAT_IDLE,256,256,1024,72
CPC_CPC_STAT_STALL,256,256,1024,72
CPC_CPC_TCIU_BUSY,256,256,1024,72
CPC_CPC_TCIU_IDLE,256,256,1024,72
CPC_CPC_UTCL2IU_BUSY,256,256,1024,72
CPC_CPC_UTCL2IU_IDLE,256,256,1024,72
CPC_CPC_UTCL2IU_STALL,256,256,1024,72
CPC_ME1_BUSY_FOR_PACKET_DECODE,256,256,1024,72
CPC_ME1_DC0_SPI_BUSY,256,256,1024,72
CPC_UTCL1_STALL_ON_TRANSLATION,256,256,1024,72
CPF_CMP_UTCL1_STALL_ON_TRANSLATION,256,256,1024,72
CPF_CPF_STAT_BUSY,256,256,1024,72
CPF_CPF_STAT_IDLE,256,256,1024,72
CPF_CPF_STAT_STALL,256,256,1024,72
CPF_CPF_TCIU_BUSY,256,256,1024,72
CPF_CPF_TCIU_IDLE,256,256,1024,72
CPF_CPF_TCIU_STALL,256,256,1024,72
FETCH_SIZE,1280,256,28160,3080
GPU_UTIL,256,256,1536,136
GRBM_COUNT,256,256,1024,72
GRBM_GUI_ACTIVE,256,256,1024,72
MeanOccupancyPerActiveCU,256,256,6656,776
MfmaUtil,256,256,3072,328
OccupancyPercent,256,256,3072,328
RDC_OPS_16_PER_SIMDCYCLE,512,256,13056,1608
RDC_OPS_32_PER_SIMDCYCLE,512,256,13056,1608
RDC_OPS_64_PER_SIMDCYCLE,512,256,11264,1352
SIMD_UTILIZATION,256,256,3072,328
SQ_WAVES,256,256,2560,264
TOTAL_16_OPS,512,256,12544,1544
TOTAL_32_OPS,512,256,12544,1544
TOTAL_64_OPS,512,256,10496,1288
VALUBusy,256,256,3072,328
ValuPipeIssueUtil,256,256,3072,328
WRITE_SIZE,1024,256,18944,2056
